Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
ExtraDisks-1.21.1-4.0.14.jar                                                    | extradisks                               | 
FarmersDelight-1.21.1-1.2.9.jar                                                 | farmersdelight                           | farmersdelight.mixins.json
forbidden_arcanus-2.6.1.jar                                                     | forbidden_arcanus                        | forbidden_arcanus.mixins.json
forgified-fabric-api-0.115.6+2.1.4+1.21.1.jar                                   | fabric_api                               | 
    /META-INF/jars/fabric-api-base-0.4.42+d1308ded19.jar                        | fabric_api_base                          | 
    /META-INF/jars/fabric-api-lookup-api-v1-1.6.70+c290471319.jar               | fabric_api_lookup_api_v1                 | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-13.0.31+1e62d33c19.jar                   | fabric_biome_api_v1                      | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-1.0.22+a6e994cd19.jar                    | fabric_block_api_v1                      | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-1.0.11+e9036fd419.jar               | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-blockrenderlayer-v1-1.1.52+c290471319.jar             | fabric_blockrenderlayer_v1               | fabric-blockrenderlayer-v1.mixins.json
    /META-INF/jars/fabric-client-tags-api-v1-1.1.15+e053909619.jar              | fabric_client_tags_api_v1                | 
    /META-INF/jars/fabric-command-api-v2-2.2.28+36d727be19.jar                  | fabric_command_api_v2                    | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-content-registries-v0-8.0.18+c290471319.jar           | fabric_content_registries_v0             | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-2.1.4+7f945d5b19.jar               | fabric_convention_tags_v1                | 
    /META-INF/jars/fabric-convention-tags-v2-2.11.0+87e5848019.jar              | fabric_convention_tags_v2                | fabric-convention-tags-api-v2.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.4.3+c290471319.jar           | fabric_data_attachment_api_v1            | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
